store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date,forecasted_daily_demand,sku_name,category,subcategory,brand,unit_price,cost_price,store_name,city,store_type,forecast_7d_demand,forecast_14d_demand,forecast_30d_demand,days_of_supply,days_since_last_restock,inventory_value_cost,inventory_value_retail,risk_status,risk_priority,risk_reason,recommended_action,is_gt_stockout,is_gt_slowmover
ST07,SKU04250,348,79,27,2025-05-10T00:00:00.000,1.8811942447156045,PureLife OTC Medicine 1kg,Health & Wellness,OTC Medicine,PureLife,1351.22,1040.59,Peshawar Hypermarket #07,Peshawar,Hypermarket,13.168359713009231,26.336719426018462,56.43582734146813,184.9888712861813,235,362125.31999999995,470224.56,CRITICAL_OVERSTOCK,4,Excess stock (348 units = 185 days supply); stale restock (235 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST22,SKU03592,468,79,38,2025-08-29T00:00:00.000,1.8811942447156045,PureLife Cheese Large,Dairy & Bakery,Cheese,PureLife,297.65,202.54,Islamabad Hypermarket #22,Islamabad,Hypermarket,13.168359713009231,26.336719426018462,56.43582734146813,248.77813724693348,124,94788.72,139300.19999999998,CRITICAL_OVERSTOCK,4,Excess stock (468 units = 249 days supply); stale restock (124 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST01,SKU00500,0,54,24,2025-10-08T00:00:00.000,1.9082169376058136,UrbanBite Home Decor Family Pack,Home & Kitchen,Home Decor,UrbanBite,1264.58,781.21,Quetta Convenience Store #01,Quetta,Convenience Store,13.357518563240696,26.71503712648139,57.246508128174405,0.0,84,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (1.9 units/day).,Emergency Expedited Replenishment PO,true,false
ST20,SKU02728,124,41,18,2025-05-20T00:00:00.000,1.874351360458132,PremiumSelect Writing Instruments 500ml,Stationery & Office,Writing Instruments,PremiumSelect,247.37,156.97,Multan Hypermarket #20,Multan,Hypermarket,13.120459523206925,26.24091904641385,56.230540813743964,66.15621948794687,225,19464.28,30673.88,HIGH_OVERSTOCK,5,Excess inventory (66 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST08,SKU03428,84,21,5,2025-06-19T00:00:00.000,1.8798979462629979,TrueTaste Home Decor 500ml,Home & Kitchen,Home Decor,TrueTaste,399.86,255.7,Quetta Supermarket #08,Quetta,Supermarket,13.159285623840985,26.31857124768197,56.39693838788994,44.68327664646983,195,21478.8,33588.24,HIGH_OVERSTOCK,5,Excess inventory (45 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST11,SKU04894,488,93,22,2025-05-26T00:00:00.000,1.8718619735363946,CleanWave Ready Meals 2kg,Frozen Foods,Ready Meals,CleanWave,262.59,199.49,Islamabad Supermarket #11,Islamabad,Supermarket,13.103033814754763,26.206067629509526,56.15585920609184,260.7029828583201,219,97351.12000000001,128143.91999999998,CRITICAL_OVERSTOCK,4,Excess stock (488 units = 261 days supply); stale restock (219 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST16,SKU01037,0,92,38,2025-09-03T00:00:00.000,1.9045304415552313,EliteHome Bottled Water Large,Beverages,Bottled Water,EliteHome,178.07,135.2,Lahore Convenience Store #16,Lahore,Convenience Store,13.33171309088662,26.66342618177324,57.13591324665694,0.0,119,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (1.9 units/day).,Emergency Expedited Replenishment PO,false,false
ST21,SKU01152,0,76,32,2025-10-02T00:00:00.000,1.8596743297775478,FamilyChoice Skin Care 1L,Personal Care,Skin Care,FamilyChoice,486.03,295.8,Peshawar Hypermarket #21,Peshawar,Hypermarket,13.017720308442835,26.03544061688567,55.79022989332643,0.0,90,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (1.9 units/day).,Emergency Expedited Replenishment PO,false,false
ST28,SKU02094,291,62,16,2025-06-01T00:00:00.000,1.8816654718800827,CleanWave Juices Pack of 6,Beverages,Juices,CleanWave,242.58,192.47,Karachi Supermarket #28,Karachi,Supermarket,13.171658303160578,26.343316606321157,56.44996415640248,154.65023105793867,213,56008.77,70590.78,CRITICAL_OVERSTOCK,4,Excess stock (291 units = 155 days supply); stale restock (213 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST26,SKU04236,377,85,24,2025-06-16T00:00:00.000,1.9172087398784097,ValueChoice Small Appliances Small,Electronics & Accessories,Small Appliances,ValueChoice,1751.93,1215.6,Lahore Convenience Store #26,Lahore,Convenience Store,13.420461179148868,26.840922358297735,57.51626219635229,196.64003827976995,198,458281.19999999995,660477.61,CRITICAL_OVERSTOCK,4,Excess stock (377 units = 197 days supply); stale restock (198 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST19,SKU01042,165,29,12,2025-08-27T00:00:00.000,0.1,QuickBite Milk Medium,Dairy & Bakery,Milk,QuickBite,77.89,59.55,Sialkot Convenience Store #19,Sialkot,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,1650.0,126,9825.75,12851.85,CRITICAL_OVERSTOCK,4,Excess stock (165 units = 1650 days supply); stale restock (126 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST15,SKU01337,308,60,19,2025-07-20T00:00:00.000,0.1,ZestyCo Coffee 2kg,Beverages,Coffee,ZestyCo,226.99,146.63,Islamabad Convenience Store #15,Islamabad,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,3080.0,164,45162.04,69912.92,CRITICAL_OVERSTOCK,4,Excess stock (308 units = 3080 days supply); stale restock (164 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST08,SKU02381,0,36,15,2025-09-05T00:00:00.000,1.9041002257176938,SoftTouch Storage & Containers Small,Home & Kitchen,Storage & Containers,SoftTouch,987.93,727.83,Quetta Supermarket #08,Quetta,Supermarket,13.328701580023857,26.657403160047714,57.12300677153081,0.0,117,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (1.9 units/day).,Emergency Expedited Replenishment PO,false,false
ST09,SKU01034,297,50,17,2025-07-31T00:00:00.000,1.8798979462629979,HealthFirst Pest Control 100g,Home Care,Pest Control,HealthFirst,313.23,198.33,Karachi Supermarket #09,Karachi,Supermarket,13.159285623840985,26.31857124768197,56.39693838788994,157.98729957144687,153,58904.01,93029.31000000001,CRITICAL_OVERSTOCK,4,Excess stock (297 units = 158 days supply); stale restock (153 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST07,SKU00170,311,70,33,2025-08-12T00:00:00.000,1.8833394475341698,ZestyCo Men's Wear 2L,Apparel & Footwear,Men's Wear,ZestyCo,1241.29,909.39,Peshawar Hypermarket #07,Peshawar,Hypermarket,13.18337613273919,26.36675226547838,56.500183426025096,165.132207264701,141,282820.29,386041.19,CRITICAL_OVERSTOCK,4,Excess stock (311 units = 165 days supply); stale restock (141 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST19,SKU01981,95,30,13,2025-08-21T00:00:00.000,0.1,NatureBlend Mobile Accessories 500ml,Electronics & Accessories,Mobile Accessories,NatureBlend,788.09,452.19,Sialkot Convenience Store #19,Sialkot,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,950.0,132,42958.05,74868.55,CRITICAL_OVERSTOCK,4,Excess stock (95 units = 950 days supply); stale restock (132 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST15,SKU04491,81,25,10,2025-07-18T00:00:00.000,1.8816654718800827,CrispKing Storage & Containers Small,Home & Kitchen,Storage & Containers,CrispKing,1022.9,686.53,Islamabad Convenience Store #15,Islamabad,Convenience Store,13.171658303160578,26.343316606321157,56.44996415640248,43.046971531591176,166,55608.93,82854.9,HIGH_OVERSTOCK,5,Excess inventory (43 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST25,SKU00978,129,22,5,2025-05-31T00:00:00.000,1.8811942447156045,HomeStyle OTC Medicine Small,Health & Wellness,OTC Medicine,HomeStyle,524.42,302.09,Quetta Convenience Store #25,Quetta,Convenience Store,13.168359713009231,26.336719426018462,56.43582734146813,68.57346090780858,214,38969.60999999999,67650.18,HIGH_OVERSTOCK,5,Excess inventory (69 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,false
ST27,SKU03562,270,79,38,2025-06-26T00:00:00.000,0.1,CleanWave Office Supplies 2kg,Stationery & Office,Office Supplies,CleanWave,51.41,31.22,Rawalpindi Supermarket #27,Rawalpindi,Supermarket,0.7000000000000001,1.4000000000000001,3.0,2700.0,188,8429.4,13880.699999999999,CRITICAL_OVERSTOCK,4,Excess stock (270 units = 2700 days supply); stale restock (188 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST25,SKU00749,139,27,10,2025-07-15T00:00:00.000,0.1,QuickBite Flour & Atta 500ml,Grocery,Flour & Atta,QuickBite,148.59,91.03,Quetta Convenience Store #25,Quetta,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,1390.0,169,12653.17,20654.010000000002,CRITICAL_OVERSTOCK,4,Excess stock (139 units = 1390 days supply); stale restock (169 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST14,SKU00331,317,59,15,2025-08-15T00:00:00.000,0.1,FreshFarm Yogurt 2L,Dairy & Bakery,Yogurt,FreshFarm,150.41,107.74,Sialkot Supermarket #14,Sialkot,Supermarket,0.7000000000000001,1.4000000000000001,3.0,3170.0,138,34153.58,47679.97,CRITICAL_OVERSTOCK,4,Excess stock (317 units = 3170 days supply); stale restock (138 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST24,SKU03493,318,58,22,2025-07-11T00:00:00.000,0.1,CityFresh Office Supplies 500g,Stationery & Office,Office Supplies,CityFresh,216.47,120.23,Gujranwala Convenience Store #24,Gujranwala,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,3180.0,173,38233.14,68837.46,CRITICAL_OVERSTOCK,4,Excess stock (318 units = 3180 days supply); stale restock (173 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST22,SKU04652,111,21,9,2025-06-20T00:00:00.000,1.8833394475341698,ValueChoice First Aid 1kg,Health & Wellness,First Aid,ValueChoice,1268.21,739.21,Islamabad Hypermarket #22,Islamabad,Hypermarket,13.18337613273919,26.36675226547838,56.500183426025096,58.937861756854694,194,82052.31,140771.31,HIGH_OVERSTOCK,5,Excess inventory (59 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST03,SKU02387,292,77,37,2025-08-09T00:00:00.000,0.1,SunriseFoods Cheese 250g,Dairy & Bakery,Cheese,SunriseFoods,187.76,146.07,Sialkot Supermarket #03,Sialkot,Supermarket,0.7000000000000001,1.4000000000000001,3.0,2920.0,144,42652.439999999995,54825.92,CRITICAL_OVERSTOCK,4,Excess stock (292 units = 2920 days supply); stale restock (144 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST08,SKU04717,202,56,16,2025-05-29T00:00:00.000,1.8816654718800827,QuickBite Dishwashing 250g,Home Care,Dishwashing,QuickBite,523.77,292.11,Quetta Supermarket #08,Quetta,Supermarket,13.171658303160578,26.343316606321157,56.44996415640248,107.35170678248664,216,59006.22,105801.54,HIGH_OVERSTOCK,5,Excess inventory (107 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,false
ST08,SKU00516,297,94,29,2025-08-20T00:00:00.000,1.8833394475341698,GoldenHarvest Batteries 250g,Electronics & Accessories,Batteries,GoldenHarvest,2155.25,1441.14,Quetta Supermarket #08,Quetta,Supermarket,13.18337613273919,26.36675226547838,56.500183426025096,157.69860307915175,133,428018.58,640109.25,CRITICAL_OVERSTOCK,4,Excess stock (297 units = 158 days supply); stale restock (133 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST01,SKU03546,0,42,18,2025-08-24T00:00:00.000,3.5953008720687016,PrimeCare OTC Medicine Medium,Health & Wellness,OTC Medicine,PrimeCare,496.17,310.3,Quetta Convenience Store #01,Quetta,Convenience Store,25.16710610448091,50.33421220896182,107.85902616206104,0.0,129,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (3.6 units/day).,Emergency Expedited Replenishment PO,true,false
ST13,SKU00631,528,100,48,2025-06-21T00:00:00.000,0.1,CrispKing Cookware 250g,Home & Kitchen,Cookware,CrispKing,1304.33,954.88,Multan Convenience Store #13,Multan,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,5280.0,193,504176.64,688686.24,CRITICAL_OVERSTOCK,4,Excess stock (528 units = 5280 days supply); stale restock (193 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST12,SKU03375,379,92,45,2025-05-31T00:00:00.000,0.1,EliteHome Butter & Ghee Pack of 12,Dairy & Bakery,Butter & Ghee,EliteHome,103.36,66.76,Hyderabad Convenience Store #12,Hyderabad,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,3790.0,214,25302.04,39173.44,CRITICAL_OVERSTOCK,4,Excess stock (379 units = 3790 days supply); stale restock (214 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST24,SKU02217,233,59,21,2025-07-22T00:00:00.000,1.8811942447156045,NutriPlus Bath & Body 2kg,Personal Care,Bath & Body,NutriPlus,457.34,298.38,Gujranwala Convenience Store #24,Gujranwala,Convenience Store,13.168359713009231,26.336719426018462,56.43582734146813,123.85749140712713,162,69522.54,106560.22,CRITICAL_OVERSTOCK,4,Excess stock (233 units = 124 days supply); stale restock (162 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST08,SKU01684,142,40,11,2025-06-01T00:00:00.000,1.8798979462629979,HealthFirst Flour & Atta Family Pack,Grocery,Flour & Atta,HealthFirst,170.29,133.93,Quetta Supermarket #08,Quetta,Supermarket,13.159285623840985,26.31857124768197,56.39693838788994,75.53601528331804,213,19018.06,24181.18,HIGH_OVERSTOCK,5,Excess inventory (76 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST01,SKU02728,148,40,10,2025-07-02T00:00:00.000,0.1,PremiumSelect Writing Instruments 500ml,Stationery & Office,Writing Instruments,PremiumSelect,247.37,156.97,Quetta Convenience Store #01,Quetta,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,1480.0,182,23231.56,36610.76,CRITICAL_OVERSTOCK,4,Excess stock (148 units = 1480 days supply); stale restock (182 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST04,SKU04194,446,92,19,2025-08-07T00:00:00.000,1.8816654718800827,ValueChoice Cheese Family Pack,Dairy & Bakery,Cheese,ValueChoice,201.25,133.83,Multan Supermarket #04,Multan,Supermarket,13.171658303160578,26.343316606321157,56.44996415640248,237.0240654702428,146,59688.18000000001,89757.5,CRITICAL_OVERSTOCK,4,Excess stock (446 units = 237 days supply); stale restock (146 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST11,SKU00935,224,58,27,2025-06-15T00:00:00.000,1.866005400735866,NovaFresh Namkeen 2L,Snacks & Confectionery,Namkeen,NovaFresh,108.32,77.98,Islamabad Supermarket #11,Islamabad,Supermarket,13.062037805151062,26.124075610302125,55.98016202207598,120.04252501716489,199,17467.52,24263.68,CRITICAL_OVERSTOCK,4,Excess stock (224 units = 120 days supply); stale restock (199 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST28,SKU04551,0,80,39,2025-09-05T00:00:00.000,1.907459692354787,DailyBest Cookware Small,Home & Kitchen,Cookware,DailyBest,2498.23,1452.98,Karachi Supermarket #28,Karachi,Supermarket,13.352217846483509,26.704435692967017,57.22379077064361,0.0,117,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (1.9 units/day).,Emergency Expedited Replenishment PO,false,false
ST21,SKU03609,508,97,41,2025-06-03T00:00:00.000,3.5831462307846564,CityFresh Pulses & Lentils 250g,Grocery,Pulses & Lentils,CityFresh,139.89,90.5,Peshawar Hypermarket #21,Peshawar,Hypermarket,25.082023615492595,50.16404723098519,107.4943869235397,141.77484458644477,211,45974.0,71064.12,CRITICAL_OVERSTOCK,4,Excess stock (508 units = 142 days supply); stale restock (211 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST23,SKU02221,152,35,15,2025-08-13T00:00:00.000,1.8798979462629979,DailyBest Spices & Seasoning Small,Grocery,Spices & Seasoning,DailyBest,125.4,87.43,Sukkur Convenience Store #23,Sukkur,Convenience Store,13.159285623840985,26.31857124768197,56.39693838788994,80.85545297932634,140,13289.36,19060.8,HIGH_OVERSTOCK,5,Excess inventory (81 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST09,SKU02094,239,65,25,2025-07-22T00:00:00.000,1.8833394475341698,CleanWave Juices Pack of 6,Beverages,Juices,CleanWave,242.58,192.47,Karachi Supermarket #09,Karachi,Supermarket,13.18337613273919,26.36675226547838,56.500183426025096,126.90224288187633,162,46000.33,57976.62,CRITICAL_OVERSTOCK,4,Excess stock (239 units = 127 days supply); stale restock (162 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST28,SKU00350,96,31,14,2025-07-31T00:00:00.000,1.8811942447156045,BasicNeeds Laundry Medium,Home Care,Laundry,BasicNeeds,492.43,368.24,Karachi Supermarket #28,Karachi,Supermarket,13.168359713009231,26.336719426018462,56.43582734146813,51.03141276860174,153,35351.04,47273.28,HIGH_OVERSTOCK,5,Excess inventory (51 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST03,SKU02279,435,78,24,2025-07-14T00:00:00.000,1.8816654718800827,SmartBuy Footwear 250ml,Apparel & Footwear,Footwear,SmartBuy,1825.01,1201.75,Sialkot Supermarket #03,Sialkot,Supermarket,13.171658303160578,26.343316606321157,56.44996415640248,231.1781804474341,170,522761.25,793879.35,CRITICAL_OVERSTOCK,4,Excess stock (435 units = 231 days supply); stale restock (170 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST18,SKU03311,412,80,28,2025-05-09T00:00:00.000,1.8811942447156045,QuickBite Bath & Body Large,Personal Care,Bath & Body,QuickBite,320.36,224.64,Karachi Supermarket #18,Karachi,Supermarket,13.168359713009231,26.336719426018462,56.43582734146813,219.0098131319158,236,92551.68,131988.32,CRITICAL_OVERSTOCK,4,Excess stock (412 units = 219 days supply); stale restock (236 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST25,SKU02038,69,22,5,2025-05-26T00:00:00.000,1.8811942447156045,NutriPlus Milk 500ml,Dairy & Bakery,Milk,NutriPlus,83.56,56.9,Quetta Convenience Store #25,Quetta,Convenience Store,13.168359713009231,26.336719426018462,56.43582734146813,36.6788279274325,219,3926.1,5765.64,HIGH_OVERSTOCK,5,Excess inventory (37 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,false
ST30,SKU00167,195,56,24,2025-05-07T00:00:00.000,1.8833394475341698,ZestyCo Batteries 500g,Electronics & Accessories,Batteries,ZestyCo,2596.95,1652.67,Multan Hypermarket #30,Multan,Hypermarket,13.18337613273919,26.36675226547838,56.500183426025096,103.53948687015014,238,322270.65,506405.24999999994,HIGH_OVERSTOCK,5,Excess inventory (104 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST09,SKU03491,125,22,10,2025-06-25T00:00:00.000,1.8571636887851506,SoftTouch Batteries 250g,Electronics & Accessories,Batteries,SoftTouch,2647.6,1930.26,Karachi Supermarket #09,Karachi,Supermarket,13.000145821496055,26.00029164299211,55.71491066355452,67.30693732320806,189,241282.5,330950.0,HIGH_OVERSTOCK,5,Excess inventory (67 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST23,SKU01174,468,83,19,2025-07-02T00:00:00.000,0.1,NovaFresh Home Decor 2L,Home & Kitchen,Home Decor,NovaFresh,1964.02,1462.83,Sukkur Convenience Store #23,Sukkur,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,4680.0,182,684604.44,919161.36,CRITICAL_OVERSTOCK,4,Excess stock (468 units = 4680 days supply); stale restock (182 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST28,SKU03504,280,89,24,2025-08-07T00:00:00.000,1.8887040797273587,NovaFresh Frozen Vegetables 1L,Frozen Foods,Frozen Vegetables,NovaFresh,847.78,576.1,Karachi Supermarket #28,Karachi,Supermarket,13.220928558091511,26.441857116183023,56.66112239182076,148.2497988993697,146,161308.0,237378.4,CRITICAL_OVERSTOCK,4,Excess stock (280 units = 148 days supply); stale restock (146 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST11,SKU01874,488,85,36,2025-07-20T00:00:00.000,1.8811942447156045,SparkleClean OTC Medicine 1L,Health & Wellness,OTC Medicine,SparkleClean,409.33,243.42,Islamabad Supermarket #11,Islamabad,Supermarket,13.168359713009231,26.336719426018462,56.43582734146813,259.4096815737255,164,118788.95999999999,199753.03999999998,CRITICAL_OVERSTOCK,4,Excess stock (488 units = 259 days supply); stale restock (164 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST24,SKU02567,361,65,16,2025-08-25T00:00:00.000,1.8811942447156045,GreenValley Air Fresheners Family Pack,Home Care,Air Fresheners,GreenValley,372.0,234.63,Gujranwala Convenience Store #24,Gujranwala,Convenience Store,13.168359713009231,26.336719426018462,56.43582734146813,191.89937509859612,128,84701.43,134292.0,CRITICAL_OVERSTOCK,4,Excess stock (361 units = 192 days supply); stale restock (128 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST15,SKU02747,0,100,30,2025-10-06T00:00:00.000,1.907182290567383,NovaFresh OTC Medicine 250ml,Health & Wellness,OTC Medicine,NovaFresh,561.26,443.77,Islamabad Convenience Store #15,Islamabad,Convenience Store,13.350276033971681,26.700552067943363,57.21546871702149,0.0,86,0.0,0.0,CRITICAL_STOCKOUT,1,Zero physical stock on hand; active unfulfilled demand (1.9 units/day).,Emergency Expedited Replenishment PO,true,false
